file,FIFO,MOPNR,SPT,MWKR
abz5.fjs,3783.0,4343.0,4234.0,5070.0
abz6.fjs,3776.0,4134.0,4583.0,4100.0
abz7.fjs,9810.0,9952.0,9730.0,10491.0
abz8.fjs,9531.0,10116.0,10039.0,10047.0
abz9.fjs,9687.0,9914.0,9723.0,10158.0
car1.fjs,11718.0,18099.0,14683.0,16560.0
car2.fjs,13883.0,17150.0,15833.0,17315.0
car3.fjs,11171.0,18624.0,19178.0,17640.0
car4.fjs,13906.0,18219.0,18317.0,18007.0
car5.fjs,11442.0,23338.0,19331.0,21664.0
car6.fjs,10596.0,22431.0,20570.0,19679.0
car7.fjs,7968.0,16240.0,13545.0,16333.0
car8.fjs,9248.0,20040.0,18587.0,18091.0
la01.fjs,2352.0,2609.0,2324.0,2521.0
la02.fjs,2151.0,2368.0,2262.0,2363.0
la03.fjs,2319.0,1967.0,2342.0,2300.0
la04.fjs,2065.0,2197.0,2407.0,2495.0
la05.fjs,1904.0,1920.0,2242.0,1951.0
la06.fjs,3364.0,3292.0,3530.0,3231.0
la07.fjs,3114.0,3480.0,3966.0,3502.0
la08.fjs,2985.0,3240.0,3152.0,3618.0
la09.fjs,3679.0,3355.0,3362.0,3259.0
la10.fjs,3138.0,3199.0,3750.0,3244.0
la11.fjs,4279.0,4764.0,5101.0,4695.0
la12.fjs,3714.0,3896.0,4071.0,4011.0
la13.fjs,4146.0,3802.0,4660.0,4405.0
la14.fjs,4259.0,4800.0,5009.0,4787.0
la15.fjs,4394.0,4615.0,4949.0,4850.0
la16.fjs,3740.0,3919.0,4200.0,4198.0
la17.fjs,3362.0,3511.0,3576.0,3747.0
la18.fjs,3705.0,3883.0,4127.0,4327.0
la19.fjs,3651.0,4112.0,4240.0,4299.0
la20.fjs,3726.0,3882.0,4385.0,4146.0
la21.fjs,5708.0,6624.0,6310.0,6060.0
la22.fjs,5557.0,5372.0,5862.0,5826.0
la23.fjs,5474.0,6114.0,6048.0,6281.0
la24.fjs,5531.0,5533.0,5881.0,5977.0
la25.fjs,6003.0,5685.0,5971.0,6116.0
la26.fjs,7069.0,7573.0,7885.0,8055.0
la27.fjs,7423.0,8313.0,7733.0,8108.0
la28.fjs,7302.0,7908.0,8609.0,8106.0
la29.fjs,7186.0,7396.0,8470.0,7978.0
la30.fjs,7957.0,7745.0,7818.0,8002.0
la31.fjs,10903.0,11179.0,11379.0,12001.0
la32.fjs,11202.0,11784.0,11803.0,11766.0
la33.fjs,11019.0,11151.0,12264.0,11570.0
la34.fjs,10365.0,11944.0,11875.0,11234.0
la35.fjs,10851.0,11487.0,11126.0,11581.0
la36.fjs,7190.0,8526.0,8121.0,8717.0
la37.fjs,7895.0,8386.0,8912.0,9131.0
la38.fjs,7529.0,8386.0,8172.0,8506.0
la39.fjs,7591.0,8169.0,8313.0,8651.0
la40.fjs,7654.0,8052.0,8338.0,8443.0
mt06.fjs,1129.0,1046.0,914.0,1042.0
mt10.fjs,3399.0,4016.0,4104.0,4285.0
mt20.fjs,4228.0,4403.0,5150.0,4690.0
orb1.fjs,3510.0,4258.0,4493.0,4133.0
orb10.fjs,3630.0,4201.0,4135.0,4756.0
orb2.fjs,4050.0,3793.0,3997.0,4145.0
orb3.fjs,3451.0,4044.0,4311.0,3937.0
orb4.fjs,3738.0,3884.0,4171.0,4746.0
orb5.fjs,3452.0,3817.0,3970.0,4151.0
orb6.fjs,3740.0,4047.0,4149.0,4655.0
orb7.fjs,3317.0,3330.0,3584.0,3210.0
orb8.fjs,3271.0,3681.0,3725.0,3829.0
orb9.fjs,3799.0,3670.0,4345.0,4261.0
