file,FIFO,MOPNR,SPT,MWKR
abz5.fjs,4570.0,4251.0,4855.0,4707.0
abz6.fjs,4069.0,3770.0,4583.0,4223.0
abz7.fjs,9992.0,9768.0,9715.0,10274.0
abz8.fjs,9576.0,10119.0,10081.0,10226.0
abz9.fjs,18617.0,18486.0,18586.0,18351.0
car1.fjs,13664.0,25159.0,19051.0,13109.0
car2.fjs,14727.0,23824.0,14011.0,14155.0
car3.fjs,14970.0,28118.0,13955.0,13578.0
car4.fjs,14749.0,26163.0,17202.0,14091.0
car5.fjs,13820.0,29621.0,16134.0,14525.0
car6.fjs,13809.0,35088.0,17662.0,16404.0
car7.fjs,11558.0,24085.0,12037.0,13201.0
car8.fjs,12669.0,32121.0,15739.0,14132.0
la01.fjs,2751.0,2356.0,2380.0,2328.0
la02.fjs,2306.0,2525.0,2245.0,2236.0
la03.fjs,2013.0,2285.0,2225.0,2036.0
la04.fjs,2465.0,2025.0,2228.0,2242.0
la05.fjs,2009.0,2147.0,2230.0,2037.0
la06.fjs,3645.0,3158.0,3585.0,3311.0
la07.fjs,3552.0,3438.0,3481.0,3136.0
la08.fjs,3854.0,3289.0,2971.0,3948.0
la09.fjs,3953.0,3516.0,3467.0,3881.0
la10.fjs,3386.0,2865.0,3374.0,3327.0
la11.fjs,4888.0,4861.0,5057.0,4390.0
la12.fjs,5026.0,4064.0,4022.0,4550.0
la13.fjs,4152.0,4544.0,4460.0,4353.0
la14.fjs,4503.0,4368.0,4447.0,4670.0
la15.fjs,5427.0,4259.0,4384.0,4669.0
la16.fjs,3978.0,4041.0,4036.0,4307.0
la17.fjs,3895.0,3505.0,3960.0,3927.0
la18.fjs,4383.0,3782.0,4013.0,4221.0
la19.fjs,3657.0,3988.0,3894.0,4104.0
la20.fjs,4075.0,3739.0,4318.0,4160.0
la21.fjs,5842.0,5635.0,6400.0,5985.0
la22.fjs,5426.0,5736.0,5981.0,5768.0
la23.fjs,5599.0,5783.0,6397.0,6025.0
la24.fjs,5443.0,5939.0,6484.0,6029.0
la25.fjs,5773.0,5728.0,5813.0,6063.0
la26.fjs,7950.0,7360.0,8104.0,7750.0
la27.fjs,8109.0,7665.0,8283.0,7961.0
la28.fjs,7863.0,7977.0,7882.0,7790.0
la29.fjs,7889.0,7893.0,7907.0,8034.0
la30.fjs,7724.0,7745.0,7688.0,8313.0
la31.fjs,11887.0,11663.0,11905.0,12112.0
la32.fjs,11527.0,11822.0,12108.0,12482.0
la33.fjs,12170.0,11568.0,12300.0,12032.0
la34.fjs,11683.0,11695.0,11506.0,12007.0
la35.fjs,11590.0,12185.0,11994.0,12091.0
la36.fjs,7985.0,8054.0,7934.0,8759.0
la37.fjs,7898.0,8406.0,8117.0,9087.0
la38.fjs,7846.0,8107.0,7971.0,8707.0
la39.fjs,8138.0,7783.0,8677.0,8211.0
la40.fjs,8046.0,8176.0,8381.0,8613.0
mt06.fjs,1090.0,1173.0,1007.0,1041.0
mt10.fjs,3950.0,4266.0,4192.0,4297.0
mt20.fjs,4620.0,4701.0,4433.0,4463.0
orb1.fjs,3790.0,4532.0,4295.0,4301.0
orb10.fjs,3940.0,4727.0,4441.0,4534.0
orb2.fjs,3748.0,3886.0,4196.0,4257.0
orb3.fjs,3807.0,4866.0,3877.0,4106.0
orb4.fjs,3965.0,3803.0,4535.0,4253.0
orb5.fjs,3793.0,4646.0,4168.0,4441.0
orb6.fjs,3925.0,4410.0,4045.0,4393.0
orb7.fjs,3288.0,3218.0,3383.0,3549.0
orb8.fjs,3803.0,4598.0,4045.0,4178.0
orb9.fjs,3990.0,3687.0,4484.0,4245.0
