file,reinforce_policy
abz5.fjs,4607.0
abz6.fjs,3900.0
abz7.fjs,9654.0
abz8.fjs,10145.0
abz9.fjs,9808.0
car1.fjs,14195.0
car2.fjs,15810.0
car3.fjs,17534.0
car4.fjs,16109.0
car5.fjs,15274.0
car6.fjs,16161.0
car7.fjs,12759.0
car8.fjs,13741.0
la01.fjs,2378.0
la02.fjs,2140.0
la03.fjs,2244.0
la04.fjs,2253.0
la05.fjs,1988.0
la06.fjs,3508.0
la07.fjs,3527.0
la08.fjs,3613.0
la09.fjs,3879.0
la10.fjs,3612.0
la11.fjs,5241.0
la12.fjs,4308.0
la13.fjs,4579.0
la14.fjs,4397.0
la15.fjs,4998.0
la16.fjs,4103.0
la17.fjs,3705.0
la18.fjs,3993.0
la19.fjs,4328.0
la20.fjs,4056.0
la21.fjs,6198.0
la22.fjs,5989.0
la23.fjs,5908.0
la24.fjs,5794.0
la25.fjs,5713.0
la26.fjs,7573.0
la27.fjs,8001.0
la28.fjs,7921.0
la29.fjs,7979.0
la30.fjs,7381.0
la31.fjs,11509.0
la32.fjs,11611.0
la33.fjs,11519.0
la34.fjs,11446.0
la35.fjs,11890.0
la36.fjs,8472.0
la37.fjs,8584.0
la38.fjs,8346.0
la39.fjs,7960.0
la40.fjs,7883.0
mt06.fjs,1204.0
mt10.fjs,3891.0
mt20.fjs,4544.0
orb1.fjs,4197.0
orb10.fjs,4412.0
orb2.fjs,4237.0
orb3.fjs,4883.0
orb4.fjs,3952.0
orb5.fjs,4495.0
orb6.fjs,4586.0
orb7.fjs,3523.0
orb8.fjs,4517.0
orb9.fjs,3812.0
