file,reinforce_policy
abz5.fjs,4932.0
abz6.fjs,4345.0
abz7.fjs,9795.0
abz8.fjs,9864.0
abz9.fjs,18580.0
car1.fjs,15628.0
car2.fjs,14501.0
car3.fjs,17215.0
car4.fjs,17366.0
car5.fjs,15674.0
car6.fjs,18579.0
car7.fjs,14179.0
car8.fjs,16096.0
la01.fjs,2732.0
la02.fjs,2403.0
la03.fjs,2551.0
la04.fjs,2358.0
la05.fjs,2609.0
la06.fjs,3428.0
la07.fjs,3094.0
la08.fjs,3942.0
la09.fjs,3657.0
la10.fjs,4021.0
la11.fjs,5013.0
la12.fjs,4353.0
la13.fjs,4603.0
la14.fjs,5241.0
la15.fjs,5106.0
la16.fjs,4062.0
la17.fjs,4019.0
la18.fjs,3917.0
la19.fjs,4270.0
la20.fjs,4007.0
la21.fjs,5925.0
la22.fjs,6020.0
la23.fjs,6176.0
la24.fjs,5982.0
la25.fjs,6056.0
la26.fjs,8167.0
la27.fjs,8375.0
la28.fjs,8062.0
la29.fjs,7639.0
la30.fjs,8143.0
la31.fjs,11278.0
la32.fjs,12370.0
la33.fjs,11632.0
la34.fjs,11549.0
la35.fjs,12318.0
la36.fjs,8151.0
la37.fjs,8825.0
la38.fjs,8138.0
la39.fjs,8089.0
la40.fjs,8619.0
mt06.fjs,1283.0
mt10.fjs,4268.0
mt20.fjs,4541.0
orb1.fjs,4860.0
orb10.fjs,5271.0
orb2.fjs,4042.0
orb3.fjs,5047.0
orb4.fjs,4212.0
orb5.fjs,4796.0
orb6.fjs,4661.0
orb7.fjs,3507.0
orb8.fjs,4966.0
orb9.fjs,4080.0
