file,FIFO,MOPNR,SPT,MWKR
abz5.fjs,4171.0,4202.0,4850.0,4783.0
abz6.fjs,4212.0,3732.0,4565.0,4309.0
abz7.fjs,9831.0,9676.0,9787.0,9966.0
abz8.fjs,9855.0,10125.0,9872.0,10108.0
abz9.fjs,9981.0,9804.0,9920.0,10191.0
car1.fjs,12873.0,23015.0,15373.0,16562.0
car2.fjs,13954.0,21396.0,17491.0,19802.0
car3.fjs,13573.0,23702.0,15606.0,17958.0
car4.fjs,16638.0,23458.0,17663.0,22240.0
car5.fjs,14473.0,27956.0,20305.0,24836.0
car6.fjs,11754.0,32256.0,17141.0,29128.0
car7.fjs,8657.0,19770.0,11416.0,13422.0
car8.fjs,12467.0,28213.0,16257.0,23258.0
la01.fjs,2553.0,2233.0,2255.0,2489.0
la02.fjs,2209.0,2408.0,2282.0,2361.0
la03.fjs,2124.0,2273.0,2439.0,2116.0
la04.fjs,2194.0,2036.0,2191.0,2259.0
la05.fjs,2148.0,2200.0,2349.0,2168.0
la06.fjs,3292.0,3234.0,3748.0,3440.0
la07.fjs,3331.0,3397.0,3355.0,3241.0
la08.fjs,3652.0,3126.0,2984.0,3599.0
la09.fjs,3538.0,3425.0,3387.0,3774.0
la10.fjs,3816.0,2940.0,3346.0,3364.0
la11.fjs,4946.0,4728.0,4346.0,4649.0
la12.fjs,4068.0,4179.0,4550.0,4268.0
la13.fjs,4051.0,4550.0,4545.0,4704.0
la14.fjs,4471.0,4422.0,4859.0,4713.0
la15.fjs,4774.0,4056.0,4706.0,4312.0
la16.fjs,4061.0,3896.0,3972.0,4273.0
la17.fjs,3782.0,3487.0,3759.0,3829.0
la18.fjs,4148.0,3893.0,4256.0,4394.0
la19.fjs,3933.0,3885.0,3801.0,4121.0
la20.fjs,4370.0,3692.0,4126.0,4035.0
la21.fjs,5430.0,5607.0,5982.0,5771.0
la22.fjs,5940.0,5585.0,6122.0,6618.0
la23.fjs,6038.0,5749.0,5872.0,6171.0
la24.fjs,5424.0,5932.0,6130.0,6080.0
la25.fjs,5702.0,5584.0,5974.0,6215.0
la26.fjs,7683.0,7301.0,7944.0,7627.0
la27.fjs,7781.0,7598.0,7710.0,8183.0
la28.fjs,7748.0,7956.0,7969.0,7777.0
la29.fjs,7741.0,7572.0,8076.0,7778.0
la30.fjs,7683.0,7634.0,7676.0,8434.0
la31.fjs,12006.0,11488.0,11514.0,11873.0
la32.fjs,11826.0,11677.0,12207.0,12620.0
la33.fjs,11977.0,11490.0,11854.0,12265.0
la34.fjs,11385.0,11709.0,11359.0,11674.0
la35.fjs,11507.0,12011.0,12022.0,12644.0
la36.fjs,8168.0,8084.0,7979.0,8178.0
la37.fjs,7659.0,8275.0,8452.0,8707.0
la38.fjs,8159.0,8219.0,8480.0,8305.0
la39.fjs,7862.0,7908.0,8551.0,8696.0
la40.fjs,8016.0,7912.0,8123.0,8168.0
mt06.fjs,1118.0,1134.0,1001.0,1109.0
mt10.fjs,3858.0,4308.0,4235.0,4074.0
mt20.fjs,4480.0,4595.0,4437.0,4178.0
orb1.fjs,3975.0,4336.0,4142.0,3958.0
orb10.fjs,4032.0,4598.0,3939.0,4402.0
orb2.fjs,3909.0,3952.0,3991.0,4134.0
orb3.fjs,3979.0,4257.0,4203.0,3947.0
orb4.fjs,3816.0,3893.0,4576.0,4258.0
orb5.fjs,4141.0,4360.0,4053.0,4523.0
orb6.fjs,3892.0,4226.0,4234.0,4436.0
orb7.fjs,3242.0,3250.0,3491.0,3450.0
orb8.fjs,3581.0,3982.0,4076.0,3658.0
orb9.fjs,3796.0,3795.0,4395.0,4010.0
