file,FIFO,MOPNR,SPT,MWKR
abz5.fjs,3651.0,5615.0,6380.0,5985.0
abz6.fjs,3669.0,4459.0,5156.0,4654.0
abz7.fjs,9332.0,9917.0,9441.0,9428.0
abz8.fjs,9318.0,10008.0,9335.0,10008.0
abz9.fjs,9683.0,9496.0,9329.0,9369.0
car1.fjs,10828.0,18242.0,19820.0,19717.0
car2.fjs,10291.0,16717.0,18158.0,17637.0
car3.fjs,11116.0,19138.0,21584.0,20890.0
car4.fjs,13080.0,19341.0,17578.0,21207.0
car5.fjs,10180.0,20214.0,19331.0,18945.0
car6.fjs,6599.0,26424.0,23820.0,27944.0
car7.fjs,6870.0,16977.0,15099.0,16922.0
car8.fjs,9542.0,23942.0,22704.0,22796.0
la01.fjs,2249.0,2425.0,2508.0,2780.0
la02.fjs,1869.0,2437.0,2341.0,2408.0
la03.fjs,1884.0,2477.0,2300.0,1996.0
la04.fjs,2175.0,2534.0,2278.0,2255.0
la05.fjs,1740.0,2067.0,1931.0,2179.0
la06.fjs,3488.0,3661.0,3353.0,3710.0
la07.fjs,3213.0,3184.0,3457.0,3383.0
la08.fjs,3181.0,3628.0,3243.0,3355.0
la09.fjs,3077.0,3492.0,3750.0,3566.0
la10.fjs,3091.0,3120.0,3525.0,3109.0
la11.fjs,3482.0,4162.0,4299.0,4266.0
la12.fjs,4286.0,4266.0,4264.0,4610.0
la13.fjs,4147.0,4214.0,4236.0,4647.0
la14.fjs,4023.0,4256.0,4876.0,4584.0
la15.fjs,3928.0,4520.0,4909.0,4983.0
la16.fjs,3742.0,4749.0,4692.0,4906.0
la17.fjs,3483.0,4451.0,4446.0,4205.0
la18.fjs,3237.0,4170.0,4323.0,4371.0
la19.fjs,3499.0,3990.0,4268.0,4585.0
la20.fjs,3480.0,4386.0,4071.0,4780.0
la21.fjs,5122.0,7249.0,6423.0,6564.0
la22.fjs,5094.0,6487.0,6285.0,6874.0
la23.fjs,5329.0,6782.0,7076.0,7023.0
la24.fjs,5072.0,6593.0,6615.0,7189.0
la25.fjs,5387.0,6530.0,6530.0,6739.0
la26.fjs,7119.0,8378.0,8298.0,8753.0
la27.fjs,6932.0,8898.0,8928.0,8891.0
la28.fjs,6796.0,8376.0,8880.0,8848.0
la29.fjs,6741.0,8601.0,8948.0,8720.0
la30.fjs,7128.0,9309.0,9320.0,9359.0
la31.fjs,9970.0,12383.0,12665.0,13229.0
la32.fjs,10453.0,13358.0,13824.0,12583.0
la33.fjs,10112.0,12408.0,12832.0,12668.0
la34.fjs,9864.0,13016.0,13485.0,12738.0
la35.fjs,10105.0,12890.0,12478.0,11788.0
la36.fjs,7460.0,9323.0,10343.0,9953.0
la37.fjs,7435.0,10724.0,11096.0,10741.0
la38.fjs,6992.0,9691.0,9577.0,9715.0
la39.fjs,7421.0,9278.0,10124.0,9918.0
la40.fjs,7088.0,9656.0,9796.0,9336.0
mt06.fjs,1269.0,939.0,854.0,1005.0
mt10.fjs,3629.0,4551.0,4923.0,4409.0
mt20.fjs,4019.0,4559.0,4332.0,4538.0
orb1.fjs,3421.0,4818.0,5061.0,4810.0
orb10.fjs,3631.0,4821.0,4510.0,4568.0
orb2.fjs,3545.0,4889.0,3949.0,4670.0
orb3.fjs,3624.0,4059.0,4790.0,5016.0
orb4.fjs,3537.0,4041.0,4366.0,4794.0
orb5.fjs,3539.0,4458.0,4368.0,4646.0
orb6.fjs,3505.0,5052.0,4555.0,5236.0
orb7.fjs,3521.0,3233.0,3176.0,3293.0
orb8.fjs,3268.0,4252.0,4382.0,4433.0
orb9.fjs,3679.0,4220.0,4747.0,4716.0
