epoch,step,test/reward,train/loss,train/reward,val/reward
0,7,,,,-116.98300170898438
1,15,,,,-115.47000122070312
2,23,,,,-114.3010025024414
3,31,,,,-112.66200256347656
4,39,,,,-112.00499725341797
5,47,,,,-111.29299926757812
6,49,,-56.742164611816406,-113.09765625,
6,55,,,,-112.71199798583984
7,63,,,,-111.26499938964844
8,71,,,,-111.01499938964844
9,79,,,,-111.27400207519531
10,87,,,,-111.76699829101562
11,95,,,,-111.03399658203125
12,99,,-44.52708435058594,-111.15234375,
12,103,,,,-111.66100311279297
13,111,,,,-111.6709976196289
14,119,,,,-112.13200378417969
15,127,,,,-111.01300048828125
16,135,,,,-111.5510025024414
17,143,,,,-111.08499908447266
18,149,,-18.3842830657959,-111.015625,
18,151,,,,-110.65299987792969
19,159,,,,-110.4520034790039
20,167,,,,-110.6719970703125
21,175,,,,-110.65599822998047
22,183,,,,-110.70600128173828
23,191,,,,-111.447998046875
24,199,,-89.00963592529297,-113.20673370361328,
24,199,,,,-112.05999755859375
25,207,,,,-110.78399658203125
26,215,,,,-110.22699737548828
27,223,,,,-111.90699768066406
28,231,,,,-111.16300201416016
29,239,,,,-110.69499969482422
30,247,,,,-110.88899993896484
31,249,,-51.05571365356445,-111.578125,
31,255,,,,-110.63400268554688
32,263,,,,-110.48200225830078
33,271,,,,-110.58699798583984
34,279,,,,-110.43699645996094
35,287,,,,-111.94300079345703
36,295,,,,-110.20700073242188
37,299,,-48.29853057861328,-111.30859375,
37,303,,,,-111.84200286865234
38,311,,,,-111.6510009765625
39,319,,,,-110.29000091552734
40,327,,,,-110.16999816894531
41,335,,,,-110.56300354003906
42,343,,,,-110.63700103759766
43,349,,-46.71753692626953,-111.140625,
43,351,,,,-110.5719985961914
44,359,,,,-112.16799926757812
45,367,,,,-110.23100280761719
46,375,,,,-110.54000091552734
47,383,,,,-110.70500183105469
48,391,,,,-110.46099853515625
49,399,,-101.6176986694336,-112.40866088867188,
49,399,,,,-112.81800079345703
50,407,,,,-112.39800262451172
51,415,,,,-110.5989990234375
52,423,,,,-110.87300109863281
53,431,,,,-111.7760009765625
54,439,,,,-111.02799987792969
55,447,,,,-110.6709976196289
56,449,,-13.246000289916992,-112.05859375,
56,455,,,,-111.9990005493164
57,463,,,,-112.19400024414062
58,471,,,,-110.51799774169922
59,479,,,,-110.4280014038086
60,487,,,,-110.53399658203125
61,495,,,,-110.49500274658203
62,499,,-14.397689819335938,-110.8203125,
62,503,,,,-110.59400177001953
63,511,,,,-110.55000305175781
64,519,,,,-110.53099822998047
65,527,,,,-110.45099639892578
66,535,,,,-110.66200256347656
67,543,,,,-110.48999786376953
68,549,,-11.447985649108887,-111.78515625,
68,551,,,,-110.36499786376953
69,559,,,,-110.38500213623047
70,567,,,,-110.1719970703125
71,575,,,,-110.46900177001953
72,583,,,,-110.5530014038086
73,591,,,,-110.74199676513672
74,599,,-31.146020889282227,-110.14423370361328,
74,599,,,,-110.36699676513672
75,607,,,,-110.47699737548828
