file,reinforce_policy
abz5.fjs,4147.0
abz6.fjs,3694.0
abz7.fjs,9738.0
abz8.fjs,9331.0
abz9.fjs,9548.0
car1.fjs,11678.0
car2.fjs,10508.0
car3.fjs,11760.0
car4.fjs,15241.0
car5.fjs,14039.0
car6.fjs,10090.0
car7.fjs,9022.0
car8.fjs,11283.0
la01.fjs,2300.0
la02.fjs,2020.0
la03.fjs,2183.0
la04.fjs,1983.0
la05.fjs,1957.0
la06.fjs,2792.0
la07.fjs,3133.0
la08.fjs,3487.0
la09.fjs,3256.0
la10.fjs,3004.0
la11.fjs,4150.0
la12.fjs,4166.0
la13.fjs,4242.0
la14.fjs,4226.0
la15.fjs,4312.0
la16.fjs,3442.0
la17.fjs,3498.0
la18.fjs,3384.0
la19.fjs,3777.0
la20.fjs,3806.0
la21.fjs,5334.0
la22.fjs,5604.0
la23.fjs,5458.0
la24.fjs,5314.0
la25.fjs,5656.0
la26.fjs,7437.0
la27.fjs,7131.0
la28.fjs,7553.0
la29.fjs,7217.0
la30.fjs,7382.0
la31.fjs,11107.0
la32.fjs,10640.0
la33.fjs,10401.0
la34.fjs,10595.0
la35.fjs,10581.0
la36.fjs,7699.0
la37.fjs,7853.0
la38.fjs,7567.0
la39.fjs,7439.0
la40.fjs,7639.0
mt06.fjs,1008.0
mt10.fjs,3513.0
mt20.fjs,4020.0
orb1.fjs,3978.0
orb10.fjs,4007.0
orb2.fjs,3828.0
orb3.fjs,3700.0
orb4.fjs,3883.0
orb5.fjs,3798.0
orb6.fjs,3661.0
orb7.fjs,3368.0
orb8.fjs,3680.0
orb9.fjs,3869.0
