file,reinforce_policy
abz5.fjs,3251.0
abz6.fjs,3571.0
abz7.fjs,9176.0
abz8.fjs,9867.0
abz9.fjs,9013.0
car1.fjs,10097.0
car2.fjs,10674.0
car3.fjs,11707.0
car4.fjs,12503.0
car5.fjs,10656.0
car6.fjs,8839.0
car7.fjs,7010.0
car8.fjs,7547.0
la01.fjs,2040.0
la02.fjs,2222.0
la03.fjs,1729.0
la04.fjs,2028.0
la05.fjs,1804.0
la06.fjs,3296.0
la07.fjs,2653.0
la08.fjs,3151.0
la09.fjs,3237.0
la10.fjs,2736.0
la11.fjs,3682.0
la12.fjs,3269.0
la13.fjs,3979.0
la14.fjs,3981.0
la15.fjs,3896.0
la16.fjs,3535.0
la17.fjs,3733.0
la18.fjs,3543.0
la19.fjs,3636.0
la20.fjs,3486.0
la21.fjs,5306.0
la22.fjs,5072.0
la23.fjs,5405.0
la24.fjs,4965.0
la25.fjs,4752.0
la26.fjs,6288.0
la27.fjs,7604.0
la28.fjs,6892.0
la29.fjs,6838.0
la30.fjs,7572.0
la31.fjs,10705.0
la32.fjs,10847.0
la33.fjs,10468.0
la34.fjs,11002.0
la35.fjs,10710.0
la36.fjs,7293.0
la37.fjs,7862.0
la38.fjs,7759.0
la39.fjs,7537.0
la40.fjs,7581.0
mt06.fjs,944.0
mt10.fjs,3543.0
mt20.fjs,3569.0
orb1.fjs,3538.0
orb10.fjs,3226.0
orb2.fjs,3747.0
orb3.fjs,3706.0
orb4.fjs,3421.0
orb5.fjs,3319.0
orb6.fjs,3863.0
orb7.fjs,3324.0
orb8.fjs,3348.0
orb9.fjs,3626.0
